domain,n,method,timing_kind,repetition,value_ms
bem,1,fp32,kernel,29,0.0163822732866
bem,1,fp32,e2e,29,0.0229011196643
bem,1,fp64,kernel,0,0.20016053319
bem,1,fp64,e2e,0,0.209047034383
bem,1,fp64,kernel,1,0.200176313519
bem,1,fp64,e2e,1,0.208469450474
bem,1,fp64,kernel,2,0.20011395216
bem,1,fp64,e2e,2,0.208887040615
bem,1,fp64,kernel,3,0.200158342719
bem,1,fp64,e2e,3,0.211182400584
bem,1,fp64,kernel,4,0.200113087893
bem,1,fp64,e2e,4,0.208829760551
bem,1,fp64,kernel,5,0.200103133917
bem,1,fp64,e2e,5,0.208937913179
bem,1,fp64,kernel,6,0.200140088797
bem,1,fp64,e2e,6,0.208724483848
bem,1,fp64,kernel,7,0.200073733926
bem,1,fp64,e2e,7,0.209621757269
bem,1,fp64,kernel,8,0.200088799
bem,1,fp64,e2e,8,0.208991676569
bem,1,fp64,kernel,9,0.200072512031
bem,1,fp64,e2e,9,0.209030404687
bem,1,fp64,kernel,10,0.200087383389
bem,1,fp64,e2e,10,0.209044471383
bem,1,fp64,kernel,11,0.200047969818
bem,1,fp64,e2e,11,0.209015369415
bem,1,fp64,kernel,12,0.200132533908
bem,1,fp64,e2e,12,0.212811201811
bem,1,fp64,kernel,13,0.200186625123
bem,1,fp64,e2e,13,0.20901119709
bem,1,fp64,kernel,14,0.200205892324
bem,1,fp64,e2e,14,0.208311676979
bem,1,fp64,kernel,15,0.200179174542
bem,1,fp64,e2e,15,0.208657279611
bem,1,fp64,kernel,16,0.200186759233
bem,1,fp64,e2e,16,0.208992630243
bem,1,fp64,kernel,17,0.200195908546
bem,1,fp64,e2e,17,0.209520637989
bem,1,fp64,kernel,18,0.200183391571
bem,1,fp64,e2e,18,0.208302080631
bem,1,fp64,kernel,19,0.200344339013
bem,1,fp64,e2e,19,0.209012791514
bem,1,fp64,kernel,20,0.200406625867
bem,1,fp64,e2e,20,0.208494067192
bem,1,fp64,kernel,21,0.200213730335
bem,1,fp64,e2e,21,0.208974406123
bem,1,fp64,kernel,22,0.200187325478
bem,1,fp64,e2e,22,0.212218880653
bem,1,fp64,kernel,23,0.200095400214
bem,1,fp64,e2e,23,0.208949431777
bem,1,fp64,kernel,24,0.200170889497
bem,1,fp64,e2e,24,0.208957120776
bem,1,fp64,kernel,25,0.200176388025
bem,1,fp64,e2e,25,0.208398401737
bem,1,fp64,kernel,26,0.200160801411
bem,1,fp64,e2e,26,0.20981952548
bem,1,fp64,kernel,27,0.200137987733
bem,1,fp64,e2e,27,0.208411842585
bem,1,fp64,kernel,28,0.200118795037
bem,1,fp64,e2e,28,0.208995833993
bem,1,fp64,kernel,29,0.200114309788
bem,1,fp64,e2e,29,0.20836032927
bem,1,adaptive_frozen_v3,kernel,0,0.212434560061
bem,1,adaptive_frozen_v3,e2e,0,0.224502086639
bem,1,adaptive_frozen_v3,kernel,1,0.21159426868
bem,1,adaptive_frozen_v3,e2e,1,0.221115842462
bem,1,adaptive_frozen_v3,kernel,2,0.211403518915
bem,1,adaptive_frozen_v3,e2e,2,0.219729274511
bem,1,adaptive_frozen_v3,kernel,3,0.211617335677
bem,1,adaptive_frozen_v3,e2e,3,0.219974726439
bem,1,adaptive_frozen_v3,kernel,4,0.21145260334
bem,1,adaptive_frozen_v3,e2e,4,0.220726087689
bem,1,adaptive_frozen_v3,kernel,5,0.211682081223
bem,1,adaptive_frozen_v3,e2e,5,0.2235712111
bem,1,adaptive_frozen_v3,kernel,6,0.211449563503
bem,1,adaptive_frozen_v3,e2e,6,0.221095994115
bem,1,adaptive_frozen_v3,kernel,7,0.211452454329
bem,1,adaptive_frozen_v3,e2e,7,0.220906242728
bem,1,adaptive_frozen_v3,kernel,8,0.211441546679
bem,1,adaptive_frozen_v3,e2e,8,0.220325425267
bem,1,adaptive_frozen_v3,kernel,9,0.211457282305
bem,1,adaptive_frozen_v3,e2e,9,0.223439991474
bem,1,adaptive_frozen_v3,kernel,10,0.211429730058
bem,1,adaptive_frozen_v3,e2e,10,0.22109952569
bem,1,adaptive_frozen_v3,kernel,11,0.211454614997
bem,1,adaptive_frozen_v3,e2e,11,0.221111685038
bem,1,adaptive_frozen_v3,kernel,12,0.211450845003
bem,1,adaptive_frozen_v3,e2e,12,0.220100477338
bem,1,adaptive_frozen_v3,kernel,13,0.211424842477
bem,1,adaptive_frozen_v3,e2e,13,0.22099712491
bem,1,adaptive_frozen_v3,kernel,14,0.211677089334
bem,1,adaptive_frozen_v3,e2e,14,0.224138244987
bem,1,adaptive_frozen_v3,kernel,15,0.211438134313
bem,1,adaptive_frozen_v3,e2e,15,0.220696642995
bem,1,adaptive_frozen_v3,kernel,16,0.211447969079
bem,1,adaptive_frozen_v3,e2e,16,0.22067424655
bem,1,adaptive_frozen_v3,kernel,17,0.211449190974
bem,1,adaptive_frozen_v3,e2e,17,0.220655694604
bem,1,adaptive_frozen_v3,kernel,18,0.211453795433
bem,1,adaptive_frozen_v3,e2e,18,0.223968312144
bem,1,adaptive_frozen_v3,kernel,19,0.211453124881
bem,1,adaptive_frozen_v3,e2e,19,0.221178546548
bem,1,adaptive_frozen_v3,kernel,20,0.211814269423
bem,1,adaptive_frozen_v3,e2e,20,0.220997452736
bem,1,adaptive_frozen_v3,kernel,21,0.211459636688
bem,1,adaptive_frozen_v3,e2e,21,0.221080958843
bem,1,adaptive_frozen_v3,kernel,22,0.211819574237
bem,1,adaptive_frozen_v3,e2e,22,0.220607355237
bem,1,adaptive_frozen_v3,kernel,23,0.211437150836
bem,1,adaptive_frozen_v3,e2e,23,0.223902404308
bem,1,adaptive_frozen_v3,kernel,24,0.211601242423
bem,1,adaptive_frozen_v3,e2e,24,0.22106975317
bem,1,adaptive_frozen_v3,kernel,25,0.211462438107
bem,1,adaptive_frozen_v3,e2e,25,0.220895990729
bem,1,adaptive_frozen_v3,kernel,26,0.211446627975
bem,1,adaptive_frozen_v3,e2e,26,0.221116796136
bem,1,adaptive_frozen_v3,kernel,27,0.211458057165
bem,1,adaptive_frozen_v3,e2e,27,0.223966404796
bem,1,adaptive_frozen_v3,kernel,28,0.211456716061
bem,1,adaptive_frozen_v3,e2e,28,0.21983936429
bem,1,adaptive_frozen_v3,kernel,29,0.211446627975
bem,1,adaptive_frozen_v3,e2e,29,0.220156803727
bem,1,adaptive_no_gradient_gate_v3,kernel,0,0.211427226663
bem,1,adaptive_no_gradient_gate_v3,e2e,0,0.219795510173
bem,1,adaptive_no_gradient_gate_v3,kernel,1,0.211453795433
bem,1,adaptive_no_gradient_gate_v3,e2e,1,0.220119044185
bem,1,adaptive_no_gradient_gate_v3,kernel,2,0.21153023839
bem,1,adaptive_no_gradient_gate_v3,e2e,2,0.220880970359
bem,1,adaptive_no_gradient_gate_v3,kernel,3,0.211420953274
bem,1,adaptive_no_gradient_gate_v3,e2e,3,0.221127688885
bem,1,adaptive_no_gradient_gate_v3,kernel,4,0.211681157351
bem,1,adaptive_no_gradient_gate_v3,e2e,4,0.22411647439
bem,1,adaptive_no_gradient_gate_v3,kernel,5,0.211592748761
bem,1,adaptive_no_gradient_gate_v3,e2e,5,0.221074879169
bem,1,adaptive_no_gradient_gate_v3,kernel,6,0.211603134871
bem,1,adaptive_no_gradient_gate_v3,e2e,6,0.220001608133
bem,1,adaptive_no_gradient_gate_v3,kernel,7,0.211591750383
bem,1,adaptive_no_gradient_gate_v3,e2e,7,0.220555186272
bem,1,adaptive_no_gradient_gate_v3,kernel,8,0.211513280869
bem,1,adaptive_no_gradient_gate_v3,e2e,8,0.221767365932
bem,1,adaptive_no_gradient_gate_v3,kernel,9,0.211541220546
bem,1,adaptive_no_gradient_gate_v3,e2e,9,0.222378879786
bem,1,adaptive_no_gradient_gate_v3,kernel,10,0.211537733674
bem,1,adaptive_no_gradient_gate_v3,e2e,10,0.220551028848
bem,1,adaptive_no_gradient_gate_v3,kernel,11,0.211526572704
bem,1,adaptive_no_gradient_gate_v3,e2e,11,0.220731526613
bem,1,adaptive_no_gradient_gate_v3,kernel,12,0.211674183607
bem,1,adaptive_no_gradient_gate_v3,e2e,12,0.221143037081
bem,1,adaptive_no_gradient_gate_v3,kernel,13,0.211440742016
bem,1,adaptive_no_gradient_gate_v3,e2e,13,0.222347825766
bem,1,adaptive_no_gradient_gate_v3,kernel,14,0.212463676929
bem,1,adaptive_no_gradient_gate_v3,e2e,14,0.221110731363
bem,1,adaptive_no_gradient_gate_v3,kernel,15,0.211432442069
bem,1,adaptive_no_gradient_gate_v3,e2e,15,0.220052167773
bem,1,adaptive_no_gradient_gate_v3,kernel,16,0.211442813277
bem,1,adaptive_no_gradient_gate_v3,e2e,16,0.220048010349
bem,1,adaptive_no_gradient_gate_v3,kernel,17,0.211426272988
bem,1,adaptive_no_gradient_gate_v3,e2e,17,0.220082879066
bem,1,adaptive_no_gradient_gate_v3,kernel,18,0.211455777287
bem,1,adaptive_no_gradient_gate_v3,e2e,18,0.223675847054
bem,1,adaptive_no_gradient_gate_v3,kernel,19,0.211457699537
bem,1,adaptive_no_gradient_gate_v3,e2e,19,0.22107295692
bem,1,adaptive_no_gradient_gate_v3,kernel,20,0.211461946368
bem,1,adaptive_no_gradient_gate_v3,e2e,20,0.219904959202
bem,1,adaptive_no_gradient_gate_v3,kernel,21,0.211675286293
bem,1,adaptive_no_gradient_gate_v3,e2e,21,0.219803854823
bem,1,adaptive_no_gradient_gate_v3,kernel,22,0.211595371366
bem,1,adaptive_no_gradient_gate_v3,e2e,22,0.222907841206
bem,1,adaptive_no_gradient_gate_v3,kernel,23,0.211450308561
bem,1,adaptive_no_gradient_gate_v3,e2e,23,0.221132159233
bem,1,adaptive_no_gradient_gate_v3,kernel,24,0.211451813579
bem,1,adaptive_no_gradient_gate_v3,e2e,24,0.22062176466
bem,1,adaptive_no_gradient_gate_v3,kernel,25,0.211454182863
bem,1,adaptive_no_gradient_gate_v3,e2e,25,0.220137923956
bem,1,adaptive_no_gradient_gate_v3,kernel,26,0.211442396045
bem,1,adaptive_no_gradient_gate_v3,e2e,26,0.219944655895
bem,1,adaptive_no_gradient_gate_v3,kernel,27,0.21145837009
bem,1,adaptive_no_gradient_gate_v3,e2e,27,0.223557755351
bem,1,adaptive_no_gradient_gate_v3,kernel,28,0.211448192596
bem,1,adaptive_no_gradient_gate_v3,e2e,28,0.220723837614
bem,1,adaptive_no_gradient_gate_v3,kernel,29,0.211436003447
bem,1,adaptive_no_gradient_gate_v3,e2e,29,0.221130236983
bem,8,fp64,kernel,0,0.201239228249
bem,8,fp64,e2e,0,0.21193343401
bem,8,fp64,kernel,1,0.201166570187
bem,8,fp64,e2e,1,0.208910405636
bem,8,fp64,kernel,2,0.201159134507
bem,8,fp64,e2e,2,0.20893535018
bem,8,fp64,kernel,3,0.201157853007
bem,8,fp64,e2e,3,0.209331512451
bem,8,fp64,kernel,4,0.201177507639
bem,8,fp64,e2e,4,0.212556481361
bem,8,fp64,kernel,5,0.201159968972
bem,8,fp64,e2e,5,0.208746865392
bem,8,fp64,kernel,6,0.201160892844
bem,8,fp64,e2e,6,0.209774717689
bem,8,fp64,kernel,7,0.201241210103
bem,8,fp64,e2e,7,0.2089612782
bem,8,fp64,kernel,8,0.201158687472
bem,8,fp64,e2e,8,0.20926399529
bem,8,fp64,kernel,9,0.201147899032
bem,8,fp64,e2e,9,0.21586817503
bem,8,fp64,kernel,10,0.201157853007
bem,8,fp64,e2e,10,0.208928316832
bem,8,fp64,kernel,11,0.20115801692
bem,8,fp64,e2e,11,0.20899361372
bem,8,fp64,kernel,12,0.201109260321
bem,8,fp64,e2e,12,0.208903044462
bem,8,fp64,kernel,13,0.200631543994
bem,8,fp64,e2e,13,0.209479048848
bem,8,fp64,kernel,14,0.200602695346
bem,8,fp64,e2e,14,0.212629750371
bem,8,fp64,kernel,15,0.20070579648
bem,8,fp64,e2e,15,0.209826558828
bem,8,fp64,kernel,16,0.200714692473
bem,8,fp64,e2e,16,0.209038391709
bem,8,fp64,kernel,17,0.200554490089
bem,8,fp64,e2e,17,0.209030404687
bem,8,fp64,kernel,18,0.200707644224
bem,8,fp64,e2e,18,0.20881088078
bem,8,fp64,kernel,19,0.200599253178
bem,8,fp64,e2e,19,0.21253696084
bem,8,fp64,kernel,20,0.200556263328
bem,8,fp64,e2e,20,0.208977609873
bem,8,fp64,kernel,21,0.200518488884
bem,8,fp64,e2e,21,0.208945930004
bem,8,fp64,kernel,22,0.200534999371
bem,8,fp64,e2e,22,0.208956167102
bem,8,fp64,kernel,23,0.200558051467
bem,8,fp64,e2e,23,0.208803847432
bem,8,fp64,kernel,24,0.200693577528
bem,8,fp64,e2e,24,0.212270081043
bem,8,fp64,kernel,25,0.200666561723
bem,8,fp64,e2e,25,0.209057927132
bem,8,fp64,kernel,26,0.200549378991
bem,8,fp64,e2e,26,0.20878303051
bem,8,fp64,kernel,27,0.200509771705
bem,8,fp64,e2e,27,0.208925113082
bem,8,fp64,kernel,28,0.20052601397
bem,8,fp64,e2e,28,0.212944969535
bem,8,fp64,kernel,29,0.200582593679
bem,8,fp64,e2e,29,0.208823680878
bem,8,adaptive_frozen_v3,kernel,0,0.21719238162
bem,8,adaptive_frozen_v3,e2e,0,0.223121285439
bem,8,adaptive_frozen_v3,kernel,1,0.217249691486
bem,8,adaptive_frozen_v3,e2e,1,0.223151355982
bem,8,adaptive_frozen_v3,kernel,2,0.217156544328
bem,8,adaptive_frozen_v3,e2e,2,0.226334393024
bem,8,adaptive_frozen_v3,kernel,3,0.217140287161
bem,8,adaptive_frozen_v3,e2e,3,0.223142400384
bem,8,adaptive_frozen_v3,kernel,4,0.21734200418
bem,8,adaptive_frozen_v3,e2e,4,0.223192960024
bem,8,adaptive_frozen_v3,kernel,5,0.21714232862
bem,8,adaptive_frozen_v3,e2e,5,0.223230406642
bem,8,adaptive_frozen_v3,kernel,6,0.217230647802
bem,8,adaptive_frozen_v3,e2e,6,0.22643135488
bem,8,adaptive_frozen_v3,kernel,7,0.217183575034
bem,8,adaptive_frozen_v3,e2e,7,0.223223686218
bem,8,adaptive_frozen_v3,kernel,8,0.21718275547
bem,8,adaptive_frozen_v3,e2e,8,0.223186567426
bem,8,adaptive_frozen_v3,kernel,9,0.217189729214
bem,8,adaptive_frozen_v3,e2e,9,0.223257273436
bem,8,adaptive_frozen_v3,kernel,10,0.217412680387
bem,8,adaptive_frozen_v3,e2e,10,0.223222717643
bem,8,adaptive_frozen_v3,kernel,11,0.217200413346
bem,8,adaptive_frozen_v3,e2e,11,0.226341441274
bem,8,adaptive_frozen_v3,kernel,12,0.217172056437
bem,8,adaptive_frozen_v3,e2e,12,0.223241597414
bem,8,adaptive_frozen_v3,kernel,13,0.217187687755
bem,8,adaptive_frozen_v3,e2e,13,0.223146870732
bem,8,adaptive_frozen_v3,kernel,14,0.217202395201
bem,8,adaptive_frozen_v3,e2e,14,0.223165437579
bem,8,adaptive_frozen_v3,kernel,15,0.217324092984
bem,8,adaptive_frozen_v3,e2e,15,0.226494401693
bem,8,adaptive_frozen_v3,kernel,16,0.217241406441
bem,8,adaptive_frozen_v3,e2e,16,0.223152309656
bem,8,adaptive_frozen_v3,kernel,17,0.217168733478
bem,8,adaptive_frozen_v3,e2e,17,0.22323936224
bem,8,adaptive_frozen_v3,kernel,18,0.217262461782
bem,8,adaptive_frozen_v3,e2e,18,0.223099514842
bem,8,adaptive_frozen_v3,kernel,19,0.217145949602
bem,8,adaptive_frozen_v3,e2e,19,0.223165437579
bem,8,adaptive_frozen_v3,kernel,20,0.217207193375
bem,8,adaptive_frozen_v3,e2e,20,0.225847676396
bem,8,adaptive_frozen_v3,kernel,21,0.217594966292
bem,8,adaptive_frozen_v3,e2e,21,0.223301127553
bem,8,adaptive_frozen_v3,kernel,22,0.217126786709
bem,8,adaptive_frozen_v3,e2e,22,0.223197117448
bem,8,adaptive_frozen_v3,kernel,23,0.217150881886
bem,8,adaptive_frozen_v3,e2e,23,0.223196491599
bem,8,adaptive_frozen_v3,kernel,24,0.21718108654
bem,8,adaptive_frozen_v3,e2e,24,0.226472973824
bem,8,adaptive_frozen_v3,kernel,25,0.217334136367
bem,8,adaptive_frozen_v3,e2e,25,0.223205134273
bem,8,adaptive_frozen_v3,kernel,26,0.217324540019
bem,8,adaptive_frozen_v3,e2e,26,0.223158717155
bem,8,adaptive_frozen_v3,kernel,27,0.217483237386
bem,8,adaptive_frozen_v3,e2e,27,0.223221436143
bem,8,adaptive_frozen_v3,kernel,28,0.217327594757
bem,8,adaptive_frozen_v3,e2e,28,0.223147824407
bem,8,adaptive_frozen_v3,kernel,29,0.217212572694
bem,8,adaptive_frozen_v3,e2e,29,0.226531848311
bem,8,adaptive_no_gradient_gate_v3,kernel,0,0.217263579369
bem,8,adaptive_no_gradient_gate_v3,e2e,0,0.223162561655
bem,8,adaptive_no_gradient_gate_v3,kernel,1,0.217196643353
bem,8,adaptive_no_gradient_gate_v3,e2e,1,0.223150715232
bem,8,adaptive_no_gradient_gate_v3,kernel,2,0.217142626643
bem,8,adaptive_no_gradient_gate_v3,e2e,2,0.225315213203
bem,8,adaptive_no_gradient_gate_v3,kernel,3,0.217235580087
bem,8,adaptive_no_gradient_gate_v3,e2e,3,0.223359033465
bem,8,adaptive_no_gradient_gate_v3,kernel,4,0.21731801331
bem,8,adaptive_no_gradient_gate_v3,e2e,4,0.223219200969
bem,8,adaptive_no_gradient_gate_v3,kernel,5,0.217132419348
bem,8,adaptive_no_gradient_gate_v3,e2e,5,0.223195210099
bem,8,adaptive_no_gradient_gate_v3,kernel,6,0.217160359025
bem,8,adaptive_no_gradient_gate_v3,e2e,6,0.223279044032
bem,8,adaptive_no_gradient_gate_v3,kernel,7,0.217188298702
bem,8,adaptive_no_gradient_gate_v3,e2e,7,0.226400643587
bem,8,adaptive_no_gradient_gate_v3,kernel,8,0.217274591327
bem,8,adaptive_no_gradient_gate_v3,e2e,8,0.223130881786
bem,8,adaptive_no_gradient_gate_v3,kernel,9,0.217161610723
bem,8,adaptive_no_gradient_gate_v3,e2e,9,0.223298251629
bem,8,adaptive_no_gradient_gate_v3,kernel,10,0.217416554689
bem,8,adaptive_no_gradient_gate_v3,e2e,10,0.223199993372
bem,8,adaptive_no_gradient_gate_v3,kernel,11,0.217166855931
bem,8,adaptive_no_gradient_gate_v3,e2e,11,0.226471036673
bem,8,adaptive_no_gradient_gate_v3,kernel,12,0.217098876834
bem,8,adaptive_no_gradient_gate_v3,e2e,12,0.223207354546
bem,8,adaptive_no_gradient_gate_v3,kernel,13,0.217048451304
bem,8,adaptive_no_gradient_gate_v3,e2e,13,0.223240315914
bem,8,adaptive_no_gradient_gate_v3,kernel,14,0.21705031395
bem,8,adaptive_no_gradient_gate_v3,e2e,14,0.223194882274
bem,8,adaptive_no_gradient_gate_v3,kernel,15,0.217115297914
bem,8,adaptive_no_gradient_gate_v3,e2e,15,0.223065927625
bem,8,adaptive_no_gradient_gate_v3,kernel,16,0.217390269041
bem,8,adaptive_no_gradient_gate_v3,e2e,16,0.226644799113
bem,8,adaptive_no_gradient_gate_v3,kernel,17,0.21727180481
bem,8,adaptive_no_gradient_gate_v3,e2e,17,0.223279044032
bem,8,adaptive_no_gradient_gate_v3,kernel,18,0.217182725668
bem,8,adaptive_no_gradient_gate_v3,e2e,18,0.223136305809
bem,8,adaptive_no_gradient_gate_v3,kernel,19,0.217246890068
bem,8,adaptive_no_gradient_gate_v3,e2e,19,0.223207354546
bem,8,adaptive_no_gradient_gate_v3,kernel,20,0.217131018639
bem,8,adaptive_no_gradient_gate_v3,e2e,20,0.225762560964
bem,8,adaptive_no_gradient_gate_v3,kernel,21,0.21707932651
bem,8,adaptive_no_gradient_gate_v3,e2e,21,0.223358079791
bem,8,adaptive_no_gradient_gate_v3,kernel,22,0.217486411333
bem,8,adaptive_no_gradient_gate_v3,e2e,22,0.223169922829
bem,8,adaptive_no_gradient_gate_v3,kernel,23,0.217111393809
bem,8,adaptive_no_gradient_gate_v3,e2e,23,0.223182082176
bem,8,adaptive_no_gradient_gate_v3,kernel,24,0.217122673988
bem,8,adaptive_no_gradient_gate_v3,e2e,24,0.22651168704
bem,8,adaptive_no_gradient_gate_v3,kernel,25,0.21735663712
bem,8,adaptive_no_gradient_gate_v3,e2e,25,0.223212793469
bem,8,adaptive_no_gradient_gate_v3,kernel,26,0.2171125561
bem,8,adaptive_no_gradient_gate_v3,e2e,26,0.223308160901
bem,8,adaptive_no_gradient_gate_v3,kernel,27,0.217696085572
bem,8,adaptive_no_gradient_gate_v3,e2e,27,0.223218232393
bem,8,adaptive_no_gradient_gate_v3,kernel,28,0.217214524746
bem,8,adaptive_no_gradient_gate_v3,e2e,28,0.223301455379
bem,8,adaptive_no_gradient_gate_v3,kernel,29,0.217820256948
bem,8,adaptive_no_gradient_gate_v3,e2e,29,0.226471364498
bem,8,fp32,kernel,0,0.0163795202971
bem,8,fp32,e2e,0,0.0242531206459
bem,8,fp32,kernel,1,0.0163817275316
bem,8,fp32,e2e,1,0.0228185597807
bem,8,fp32,kernel,2,0.0163821745664
bem,8,fp32,e2e,2,0.0243932791054
bem,8,fp32,kernel,3,0.0163812804967
bem,8,fp32,e2e,3,0.0243865605444
bem,8,fp32,kernel,4,0.0163818243891
bem,8,fp32,e2e,4,0.0230144001544
bem,8,fp32,kernel,5,0.0166053120047
bem,8,fp32,e2e,5,0.0229747202247
bem,8,fp32,kernel,6,0.0163816958666
bem,8,fp32,e2e,6,0.0228387191892
bem,8,fp32,kernel,7,0.0163806397468
bem,8,fp32,e2e,7,0.0229558404535
bem,8,fp32,kernel,8,0.0163817591965
bem,8,fp32,e2e,8,0.0230547189713
bem,8,fp32,kernel,9,0.016382239759
bem,8,fp32,e2e,9,0.0230924803764
bem,8,fp32,kernel,10,0.0163801927119
bem,8,fp32,e2e,10,0.0230460818857
bem,8,fp32,kernel,11,0.0166073292494
bem,8,fp32,e2e,11,0.0230441596359
bem,8,fp32,kernel,12,0.0163826886564
bem,8,fp32,e2e,12,0.0242198389024
bem,8,fp32,kernel,13,0.0163820143789
bem,8,fp32,e2e,13,0.0229913592339
bem,8,fp32,kernel,14,0.0163811836392
bem,8,fp32,e2e,14,0.0230460818857
bem,8,fp32,kernel,15,0.0163818243891
bem,8,fp32,e2e,15,0.0243859197944
bem,8,fp32,kernel,16,0.0163808334619
bem,8,fp32,e2e,16,0.024458238855
bem,8,fp32,kernel,17,0.0166075844318
bem,8,fp32,e2e,17,0.024479361251
bem,8,fp32,kernel,18,0.0163821130991
bem,8,fp32,e2e,18,0.0230294391513
bem,8,fp32,kernel,19,0.016382239759
bem,8,fp32,e2e,19,0.0229311995208
bem,8,fp32,kernel,20,0.0163808632642
bem,8,fp32,e2e,20,0.0230419207364
bem,8,fp32,kernel,21,0.0163806080818
bem,8,fp32,e2e,21,0.0242953617126
bem,8,fp32,kernel,22,0.0163808949292
bem,8,fp32,e2e,22,0.0245136003941
bem,8,fp32,kernel,23,0.016605887562
bem,8,fp32,e2e,23,0.0229718405753
bem,8,fp32,kernel,24,0.0163828786463
bem,8,fp32,e2e,24,0.0231216009706
bem,8,fp32,kernel,25,0.0163823682815
bem,8,fp32,e2e,25,0.0230332799256
bem,8,fp32,kernel,26,0.0163820143789
bem,8,fp32,e2e,26,0.0229107197374
bem,8,fp32,kernel,27,0.0163816958666
bem,8,fp32,e2e,27,0.024176960811
bem,8,fp32,kernel,28,0.0163821130991
bem,8,fp32,e2e,28,0.0230403207242
bem,8,fp32,kernel,29,0.016608895734
bem,8,fp32,e2e,29,0.0230428799987
bem,32,fp32,kernel,0,0.0163914877921
bem,32,fp32,e2e,0,0.0236454382539
bem,32,fp32,kernel,1,0.0166071355343
bem,32,fp32,e2e,1,0.023693440482
bem,32,fp32,kernel,2,0.0163977276534
bem,32,fp32,e2e,2,0.0236873608083
bem,32,fp32,kernel,3,0.0163971204311
bem,32,fp32,e2e,3,0.0236588809639
bem,32,fp32,kernel,4,0.0163970235735
bem,32,fp32,e2e,4,0.0236569587141
bem,32,fp32,kernel,5,0.0163970571011
bem,32,fp32,e2e,5,0.0236534401774
bem,32,fp32,kernel,6,0.0164016000926
bem,32,fp32,e2e,6,0.0237078405917
bem,32,fp32,kernel,7,0.0167065281421
bem,32,fp32,e2e,7,0.0236825607717
bem,32,fp32,kernel,8,0.0163965113461
bem,32,fp32,e2e,8,0.02361536026
bem,32,fp32,kernel,9,0.016396863386
bem,32,fp32,e2e,9,0.0236665606499
bem,32,fp32,kernel,10,0.016397152096
bem,32,fp32,e2e,10,0.0236886404455
bem,32,fp32,kernel,11,0.0163973122835
bem,32,fp32,e2e,11,0.0267747212201
bem,32,fp32,kernel,12,0.0163967981935
bem,32,fp32,e2e,12,0.0236531216651
bem,32,fp32,kernel,13,0.0166021436453
bem,32,fp32,e2e,13,0.0237203184515
bem,32,fp32,kernel,14,0.0163976624608
bem,32,fp32,e2e,14,0.0236412808299
bem,32,fp32,kernel,15,0.0163961928338
bem,32,fp32,e2e,15,0.0236780811101
bem,32,fp32,kernel,16,0.0163959674537
